Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
13.766369581222534	36	9.296296	0.8080527	11.0	8.0	9.296296296296296	0.8080527492322751	1004	37185
14.109226942062378	37	9.277778	0.71793604	12.0	8.0	9.277777777777779	0.7179359990733379	1002	38187
14.457104206085205	38	9.277778	0.79154485	11.0	8.0	9.277777777777779	0.791544824931945	1002	39189
14.816027164459229	39	9.277778	0.7556372	11.0	8.0	9.277777777777779	0.7556372504853023	1002	40191
15.16455626487732	40	9.342592	0.73487264	11.0	8.0	9.342592592592593	0.73487258957461	1009	41200
15.496996402740479	41	9.305555	0.7130832	11.0	8.0	9.305555555555555	0.7130832029440798	1005	42205
15.854432582855225	42	9.268518	0.7888868	11.0	8.0	9.268518518518519	0.7888867153508571	1001	43206
16.20109534263611	43	9.211009	0.7906958	11.0	8.0	9.211009174311927	0.7906958321620274	1004	44210
16.556787490844727	44	9.4811325	0.7167949	11.0	8.0	9.481132075471699	0.7167949112683633	1005	45215
16.923712968826294	45	9.45283	0.71549	11.0	8.0	9.452830188679245	0.715490008522964	1002	46217
17.273762702941895	46	9.145454	0.7240839	11.0	8.0	9.145454545454545	0.7240839182450866	1006	47223
17.637610912322998	47	9.296296	0.73609656	11.0	8.0	9.296296296296296	0.7360965523833997	1004	48227
17.993302583694458	48	9.342592	0.74736625	11.0	8.0	9.342592592592593	0.7473662030267437	1009	49236
18.35254144668579	49	9.314815	0.77755725	11.0	8.0	9.314814814814815	0.7775572879710007	1006	50242
18.708723783493042	50	9.364486	0.74121046	11.0	8.0	9.36448598130841	0.7412104694915272	1002	51244
19.068727254867554	51	9.314815	0.6891776	11.0	8.0	9.314814814814815	0.689177557997348	1006	52250
19.410189628601074	52	9.373832	0.779688	11.0	8.0	9.373831775700934	0.7796879855930545	1003	53253
